Data;Godzina;RCE
20230211;21;656.09
20230211;22;631.65
20230211;23;631.06
20230211;24;570.54
20230212;1;588.31
20230212;2;572.4
20230212;3;586.38
20230212;4;574.76
20230212;5;570.15
20230212;6;575.8
20230212;7;588.12
20230212;8;611.51
20230212;9;670.88
20230212;10;667.38
20230212;11;652.33
20230212;12;632.05
20230212;13;604.58
20230212;14;578.61
20230212;15;578.45
20230212;16;615.74
20230212;17;677.14
20230212;18;742.34
20230212;19;783.82
20230212;20;772.53
20230212;21;761.47
20230212;22;705.47
20230212;23;631.24
20230212;24;556.42
20230213;1;580.08
20230213;2;570.91
20230213;3;571.23
20230213;4;580.22
20230213;5;577.42
20230213;6;588.74
20230213;7;686.19
20230213;8;779.17
20230213;9;790.58
20230213;10;741.13
20230213;11;679.45
20230213;12;667.51
20230213;13;657.22
20230213;14;655.47
20230213;15;671.91
20230213;16;723.99
20230213;17;772.42
20230213;18;790.53
20230213;19;774.98
20230213;20;780.17
20230213;21;749.89
20230213;22;704.55
20230213;23;702.59
20230213;24;669.99
20230214;1;688.13
20230214;2;662.76
20230214;3;659.22
20230214;4;674.34
20230214;5;720.62
20230214;6;744.95
20230214;7;809.1
20230214;8;901.14
20230214;9;953.69
20230214;10;886.21
20230214;11;804.97
20230214;12;776.99
20230214;13;759.58
20230214;14;776.35
20230214;15;793.09
20230214;16;807.29
20230214;17;895.14
20230214;18;950.18
20230214;19;976.24
20230214;20;981.92
20230214;21;898.09
20230214;22;824.31
20230214;23;796.28
20230214;24;744
20230215;1;700.71
20230215;2;686.87
20230215;3;698.17
20230215;4;694.77
20230215;5;711.23
20230215;6;749.87
20230215;7;811.48
20230215;8;893.4
20230215;9;912.53
20230215;10;843.41
20230215;11;783
20230215;12;733.05
20230215;13;732.15
20230215;14;728.68
20230215;15;765.37
20230215;16;808.6
20230215;17;864.93
20230215;18;895.52
20230215;19;893.58
20230215;20;886.3
20230215;21;832.92
20230215;22;759.9
20230215;23;753.71
20230215;24;698.48
20230216;1;653.39
20230216;2;649.96
20230216;3;632.45
20230216;4;623.13
20230216;5;642.94
20230216;6;709.4
20230216;7;754.24
20230216;8;797.66
20230216;9;804.93
20230216;10;775.42
20230216;11;707.58
20230216;12;689.91
20230216;13;668.06
20230216;14;669.1
20230216;15;708.35
20230216;16;771.91
20230216;17;799.59
20230216;18;822.46
20230216;19;809.73
20230216;20;804.25
20230216;21;796.2
20230216;22;741.25
20230216;23;715.31
20230216;24;663.91
20230217;1;654.02
20230217;2;626.62
20230217;3;641.02
20230217;4;641.57
20230217;5;648.92
20230217;6;688.08
20230217;7;730.28
20230217;8;770.19
20230217;9;782.81
20230217;10;772.01
20230217;11;745.72
20230217;12;752.43
20230217;13;700.01
20230217;14;679.13
20230217;15;676.02
20230217;16;673.63
20230217;17;655.77
20230217;18;663.24
20230217;19;614.32
20230217;20;618.89
20230217;21;566.46
20230217;22;508.37
20230217;23;494.52
20230217;24;435.87
20230218;1;448.77
20230218;2;414.86
20230218;3;390.39
20230218;4;368.1
20230218;5;350.77
20230218;6;388.9
20230218;7;433.14
20230218;8;451.09
20230218;9;488.42
20230218;10;502.19
20230218;11;497.36
20230218;12;502.19
20230218;13;496.26
20230218;14;529.55
20230218;15;546.05
20230218;16;557.39
20230218;17;575.49
20230218;18;597.02
20230218;19;600.84
20230218;20;592.35
20230218;21;568.92
20230218;22;556.13
20230218;23;559.4
20230218;24;521.44
20230219;1;480.9
20230219;2;464.12
20230219;3;449.05
20230219;4;426.4
